model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",276000,301000,3000,False,seqs,1.0643e-04),0.0757%,0.0452%,51.9141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",279000,304000,3000,False,seqs,8.9533e-05),1.9262%,0.0685%,42.6562%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",282000,307000,3000,False,seqs,1.1556e-04),0.0513%,0.0464%,54.0234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",285000,310000,3000,False,seqs,1.2843e-04),0.9014%,0.0780%,54.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",288000,313000,3000,False,seqs,1.3467e-04),3.1784%,0.0530%,48.0469%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",291000,316000,3000,False,seqs,1.6072e-04),0.0731%,0.0862%,66.7188%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",294000,319000,3000,False,seqs,1.7519e-04),0.0595%,0.0444%,55.9375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",297000,322000,3000,False,seqs,1.7402e-04),0.2127%,0.0399%,52.6953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",300000,325000,3000,False,seqs,1.5219e-04),0.0625%,0.0525%,63.5547%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",303000,328000,3000,False,seqs,1.5038e-04),0.0575%,0.0469%,50.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",306000,331000,3000,False,seqs,1.4079e-04),0.2003%,0.0442%,55.5859%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",309000,334000,3000,False,seqs,1.3419e-04),0.1927%,0.0411%,47.1094%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",312000,337000,3000,False,seqs,1.4450e-04),0.0458%,0.0249%,47.4609%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",315000,340000,3000,False,seqs,1.3778e-04),0.0338%,0.0238%,52.3828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",318000,343000,3000,False,seqs,8.1868e-05),0.0233%,0.0289%,71.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",321000,346000,3000,False,seqs,8.2311e-05),0.0161%,0.0235%,69.5703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",324000,349000,3000,False,seqs,7.0049e-05),0.0206%,0.0217%,62.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",327000,352000,3000,False,seqs,7.3901e-05),0.2004%,0.0296%,43.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",330000,355000,3000,False,seqs,6.2788e-05),0.0513%,0.0291%,50.0391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",333000,358000,3000,False,seqs,5.5488e-05),0.4968%,0.0302%,47.6953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",336000,361000,3000,False,seqs,5.3237e-05),0.1019%,0.0235%,53.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",339000,364000,3000,False,seqs,6.2277e-05),0.0183%,0.0249%,73.7109%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",342000,367000,3000,False,seqs,6.2156e-05),0.0475%,0.0245%,50.9375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",345000,370000,3000,False,seqs,5.2116e-05),0.0526%,0.0322%,53.6328%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",348000,373000,3000,False,seqs,4.9880e-05),0.1750%,0.0242%,52.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",351000,376000,3000,False,seqs,5.1821e-05),0.0202%,0.0251%,64.1016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",354000,379000,3000,False,seqs,5.7188e-05),0.0159%,0.0166%,63.5938%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",357000,382000,3000,False,seqs,6.0764e-05),0.0127%,0.0164%,68.2813%
