model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",213000,238000,3000,False,seqs,5.3733e-04),0.0448%,0.0340%,40.9766%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",216000,241000,3000,False,seqs,4.6144e-04),0.0888%,0.0620%,44.9609%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",219000,244000,3000,False,seqs,4.2157e-04),0.0657%,0.0341%,41.4453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",222000,247000,3000,False,seqs,1.1639e-03),0.0652%,0.0514%,40.0781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",225000,250000,3000,False,seqs,6.0033e-04),0.0628%,0.0377%,37.6953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",228000,253000,3000,False,seqs,3.1641e-04),0.0320%,0.0220%,40.6641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",231000,256000,3000,False,seqs,4.4820e-04),0.0520%,0.0373%,37.8516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",234000,259000,3000,False,seqs,4.8384e-04),0.0954%,0.0441%,43.3984%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",237000,262000,3000,False,seqs,5.5577e-04),0.0631%,0.0367%,52.6563%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",240000,265000,3000,False,seqs,4.8008e-04),0.0606%,0.0443%,39.1016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",243000,268000,3000,False,seqs,6.2029e-04),0.0438%,0.0280%,47.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",246000,271000,3000,False,seqs,6.2535e-04),0.0403%,0.0302%,47.6172%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",249000,274000,3000,False,seqs,6.8802e-04),0.0925%,0.0727%,45.1172%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",252000,277000,3000,False,seqs,6.5357e-04),0.0676%,0.0317%,42.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",255000,280000,3000,False,seqs,6.2177e-04),0.0415%,0.0201%,45.3516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",258000,283000,3000,False,seqs,6.4487e-04),0.0553%,0.0351%,41.8359%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",261000,286000,3000,False,seqs,5.8672e-04),0.0458%,0.0323%,49.5313%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",264000,289000,3000,False,seqs,5.6755e-04),0.0447%,0.0334%,43.9844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",267000,292000,3000,False,seqs,5.7328e-04),0.1031%,0.0512%,44.0234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",270000,295000,3000,False,seqs,5.4534e-04),0.0721%,0.0527%,42.3047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",273000,298000,3000,False,seqs,8.5184e-04),0.0833%,0.0644%,51.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",276000,301000,3000,False,seqs,4.6150e-04),0.0563%,0.0452%,42.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",279000,304000,3000,False,seqs,5.5902e-04),0.1132%,0.0685%,40.4687%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",282000,307000,3000,False,seqs,1.0322e-03),0.0681%,0.0464%,36.5234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",285000,310000,3000,False,seqs,9.6862e-04),0.1804%,0.0780%,45.0000%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",288000,313000,3000,False,seqs,7.4452e-04),0.0833%,0.0530%,33.9844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",291000,316000,3000,False,seqs,8.5573e-04),0.1233%,0.0862%,37.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",294000,319000,3000,False,seqs,7.8146e-04),0.0762%,0.0444%,36.4453%
