model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",183000,208000,3000,False,seqs,6.4246e-04,0.0400%,0.0091%,55.7129%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",186000,211000,3000,False,seqs,8.5550e-04,0.0469%,0.0338%,41.6992%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",189000,214000,3000,False,seqs,7.9807e-04,0.0178%,0.0103%,49.1699%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",192000,217000,3000,False,seqs,8.8012e-04,0.0434%,0.0226%,43.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",195000,220000,3000,False,seqs,1.1346e-03,0.0760%,0.0587%,51.0254%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",198000,223000,3000,False,seqs,7.8070e-04,0.0555%,0.0540%,49.8047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",201000,226000,3000,False,seqs,9.4107e-04,0.0442%,0.0254%,48.4863%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",204000,229000,3000,False,seqs,9.4259e-04,0.0341%,0.0127%,48.8770%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",207000,232000,3000,False,seqs,7.0750e-04,0.0202%,0.0085%,41.6504%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",210000,235000,3000,False,seqs,6.9763e-04,0.0344%,0.0258%,38.2324%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",213000,238000,3000,False,seqs,6.6690e-04,0.0500%,0.0361%,42.0898%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",216000,241000,3000,False,seqs,5.2506e-04,0.0467%,0.0371%,44.9219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",219000,244000,3000,False,seqs,6.1520e-04,0.0498%,0.0332%,39.3066%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",222000,247000,3000,False,seqs,1.0121e-03,0.0593%,0.0457%,31.2500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",225000,250000,3000,False,seqs,6.0706e-04,0.0525%,0.0302%,42.7734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",228000,253000,3000,False,seqs,4.6326e-04,0.0376%,0.0237%,37.6465%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",231000,256000,3000,False,seqs,6.1928e-04,0.0458%,0.0317%,38.8184%
