datetime,close,open,high,low,volume,missing
2015-10-28,2090.35,2066.48,2090.35,2063.11,,0
2015-10-29,2089.41,2088.35,2092.52,2082.63,,0
2015-10-30,2079.36,2090.0,2094.32,2079.34,,0
2015-11-02,2104.05,2080.76,2106.2,2080.76,,0
2015-11-03,2109.79,2102.63,2116.48,2097.51,,0
2015-11-04,2102.31,2110.6,2114.59,2096.98,,0
2015-11-05,2099.93,2101.68,2108.78,2090.41,,0
2015-11-06,2099.2,2098.6,2101.91,2083.74,,0
2015-11-09,2078.58,2096.56,2096.56,2068.24,,0
2015-11-10,2081.72,2077.19,2083.67,2069.91,,0
2015-11-11,2075.0,2083.41,2086.94,2074.85,,0
2015-11-12,2045.97,2072.29,2072.29,2045.66,,0
2015-11-13,2023.04,2044.64,2044.64,2022.02,,0
2015-11-16,2053.19,2022.08,2053.22,2019.39,,0
2015-11-17,2050.44,2053.67,2066.69,2045.9,,0
2015-11-18,2083.58,2051.99,2085.31,2051.99,,0
2015-11-19,2081.24,2083.7,2086.74,2078.76,,0
2015-11-20,2089.17,2082.82,2097.06,2082.82,,0
2015-11-23,2086.59,2089.41,2095.61,2081.39,,0
2015-11-24,2089.14,2084.42,2094.12,2070.29,,0
2015-11-25,2088.87,2089.3,2093.0,2086.3,,0
2015-11-27,2090.11,2088.82,2093.29,2084.13,,0
2015-11-30,2080.41,2090.95,2093.81,2080.41,,0
2015-12-01,2102.63,2082.93,2103.37,2082.93,,0
2015-12-02,2079.51,2101.71,2104.27,2077.11,,0
2015-12-03,2049.62,2080.71,2085.0,2042.35,,0
2015-12-04,2091.69,2051.24,2093.84,2051.24,,0
2015-12-07,2077.07,2090.42,2090.42,2066.78,,0
2015-12-08,2063.59,2073.39,2073.85,2052.32,,0
2015-12-09,2047.62,2061.17,2080.33,2036.53,,0
2015-12-10,2052.23,2047.93,2067.65,2045.67,,0
2015-12-11,2012.37,2047.27,2047.27,2008.8,,0
2015-12-14,2021.94,2013.37,2022.92,1993.26,,0
2015-12-15,2043.41,2025.55,2053.87,2025.55,,0
2015-12-16,2073.07,2046.5,2076.72,2042.43,,0
2015-12-17,2041.89,2073.76,2076.37,2041.66,,0
2015-12-18,2005.55,2040.81,2040.81,2005.33,,0
2015-12-21,2021.15,2010.27,2022.9,2005.93,,0
2015-12-22,2038.97,2023.15,2042.74,2020.49,,0
2015-12-23,2064.29,2042.2,2064.73,2042.2,,0
2015-12-24,2060.99,2063.52,2067.36,2058.73,,0
2015-12-28,2056.5,2057.77,2057.77,2044.2,,0
2015-12-29,2078.36,2060.54,2081.56,2060.54,,0
2015-12-30,2063.36,2077.34,2077.34,2061.97,,0
2015-12-31,2043.94,2060.59,2062.54,2043.62,,0
2016-01-04,2012.66,2038.2,2038.2,1989.68,,0
2016-01-05,2016.71,2013.78,2021.94,2004.17,,0
2016-01-06,1990.26,2011.71,2011.71,1979.05,,0
2016-01-07,1943.09,1985.32,1985.32,1938.83,,0
2016-01-08,1922.03,1945.97,1960.4,1918.46,,0
2016-01-11,1923.67,1926.12,1935.65,1901.1,,0
2016-01-12,1938.68,1927.83,1947.38,1914.35,,0
2016-01-13,1890.28,1940.34,1950.33,1886.41,,0
2016-01-14,1921.84,1891.68,1934.47,1878.93,,0
2016-01-15,1880.33,1916.68,1916.68,1857.83,,0
2016-01-19,1881.33,1888.66,1901.44,1864.6,,0
2016-01-20,1859.33,1876.18,1876.18,1812.29,,0
2016-01-21,1868.99,1861.46,1889.85,1848.98,,0
2016-01-22,1906.9,1877.4,1908.85,1877.4,,0
2016-01-25,1877.08,1906.28,1906.28,1875.97,,0
2016-01-26,1903.63,1878.79,1906.73,1878.79,,0
2016-01-27,1882.95,1902.52,1916.99,1872.7,,0
2016-01-28,1893.36,1885.22,1902.96,1873.65,,0
2016-01-29,1940.24,1894.0,1940.24,1894.0,,0
2016-02-01,1939.38,1936.94,1947.2,1920.3,,0
2016-02-02,1903.03,1935.26,1935.26,1897.29,,0
2016-02-03,1912.53,1907.07,1918.01,1872.23,,0
2016-02-04,1915.45,1911.67,1927.35,1900.52,,0
2016-02-05,1880.05,1913.07,1913.07,1872.65,,0
2016-02-08,1853.44,1873.25,1873.25,1828.46,,0
2016-02-09,1852.21,1848.46,1868.25,1834.94,,0
2016-02-10,1851.86,1857.1,1881.6,1850.32,,0
2016-02-11,1829.08,1847.0,1847.0,1810.1,,0
2016-02-12,1864.78,1833.4,1864.78,1833.4,,0
2016-02-16,1895.58,1871.44,1895.77,1871.44,,0
2016-02-17,1926.82,1898.8,1930.68,1898.8,,0
2016-02-18,1917.83,1927.57,1930.0,1915.09,,0
2016-02-19,1917.78,1916.74,1918.78,1902.17,,0
